20240719-101249
Epoch 0/5 ,Loss 12.597,heat_loss_new 5.798,tv_loss 6.720,nps 0.078 
Epoch 0/5 ,Loss 12.466,heat_loss_new 5.684,tv_loss 6.704,nps 0.078 
Epoch 0/5 ,Loss 12.309,heat_loss_new 5.545,tv_loss 6.687,nps 0.078 
Epoch 0/5 ,Loss 11.598,heat_loss_new 4.850,tv_loss 6.670,nps 0.078 
Epoch 0/5 ,Loss 10.785,heat_loss_new 4.054,tv_loss 6.653,nps 0.078 
Epoch 0/5 ,Loss 12.670,heat_loss_new 5.957,tv_loss 6.636,nps 0.077 
Epoch 0/5 ,Loss 11.731,heat_loss_new 5.034,tv_loss 6.619,nps 0.077 
Epoch 0/5 ,Loss 12.753,heat_loss_new 6.074,tv_loss 6.602,nps 0.077 
Epoch 0/5 ,Loss 12.707,heat_loss_new 6.045,tv_loss 6.585,nps 0.077 
Epoch 0/5 ,Loss 11.766,heat_loss_new 5.121,tv_loss 6.568,nps 0.077 
Epoch 0/5 ,Loss 11.966,heat_loss_new 5.338,tv_loss 6.552,nps 0.077 
Epoch 0/5 ,Loss 11.109,heat_loss_new 4.497,tv_loss 6.535,nps 0.077 
Epoch 0/5 ,Loss 12.865,heat_loss_new 6.270,tv_loss 6.519,nps 0.077 
Epoch 0/5 ,Loss 10.767,heat_loss_new 4.188,tv_loss 6.502,nps 0.076 
Epoch 0/5 ,Loss 11.494,heat_loss_new 4.932,tv_loss 6.486,nps 0.076 
Epoch 0/5 ,Loss 12.490,heat_loss_new 5.944,tv_loss 6.469,nps 0.076 
Epoch 0/5 ,Loss 12.541,heat_loss_new 6.012,tv_loss 6.453,nps 0.076 
Epoch 0/5 ,Loss 12.572,heat_loss_new 6.059,tv_loss 6.437,nps 0.076 
Epoch 0/5 ,Loss 10.693,heat_loss_new 4.196,tv_loss 6.421,nps 0.076 
Epoch 0/5 ,Loss 12.925,heat_loss_new 6.444,tv_loss 6.405,nps 0.076 
Epoch 0/5 ,Loss 11.651,heat_loss_new 5.186,tv_loss 6.389,nps 0.076 
Epoch 0/5 ,Loss 12.440,heat_loss_new 5.991,tv_loss 6.374,nps 0.076 
Epoch 0/5 ,Loss 13.354,heat_loss_new 6.921,tv_loss 6.358,nps 0.076 
Epoch 0/5 ,Loss 13.098,heat_loss_new 6.680,tv_loss 6.342,nps 0.075 
Epoch 0/5 ,Loss 11.096,heat_loss_new 4.694,tv_loss 6.327,nps 0.075 
Epoch 0/5 ,Loss 13.169,heat_loss_new 6.782,tv_loss 6.311,nps 0.075 
Epoch 0/5 ,Loss 10.962,heat_loss_new 4.591,tv_loss 6.296,nps 0.075 
